num_spheres,width,height,run,time_ms,runtime
1,640,360,8,0.905608,gpu_base
1,640,360,9,0.916317,gpu_base
1,1280,720,0,2.11002,gpu_base
1,1280,720,1,2.122,gpu_base
1,1280,720,2,2.10024,gpu_base
1,1280,720,3,2.12286,gpu_base
1,1280,720,4,2.10578,gpu_base
1,1280,720,5,2.11631,gpu_base
1,1280,720,6,2.108,gpu_base
1,1280,720,7,2.11881,gpu_base
1,1280,720,8,2.10627,gpu_base
1,1280,720,9,2.11569,gpu_base
1,1920,1080,0,4.14396,gpu_base
1,1920,1080,1,4.14524,gpu_base
1,1920,1080,2,4.15463,gpu_base
1,1920,1080,3,4.15524,gpu_base
1,1920,1080,4,4.15662,gpu_base
1,1920,1080,5,4.13604,gpu_base
1,1920,1080,6,4.13825,gpu_base
1,1920,1080,7,4.14315,gpu_base
1,1920,1080,8,4.17411,gpu_base
1,1920,1080,9,4.14452,gpu_base
5,320,180,0,1.26689,gpu_base
5,320,180,1,1.23725,gpu_base
5,320,180,2,1.24785,gpu_base
5,320,180,3,1.45266,gpu_base
5,320,180,4,1.31581,gpu_base
5,320,180,5,1.33026,gpu_base
5,320,180,6,1.99321,gpu_base
5,320,180,7,1.25843,gpu_base
5,320,180,8,1.28618,gpu_base
5,320,180,9,1.22386,gpu_base
5,640,360,0,2.08384,gpu_base
5,640,360,1,2.03802,gpu_base
5,640,360,2,2.04452,gpu_base
5,640,360,3,2.19887,gpu_base
5,640,360,4,2.01505,gpu_base
5,640,360,5,2.16293,gpu_base
5,640,360,6,2.50317,gpu_base
5,640,360,7,2.18199,gpu_base
5,640,360,8,2.17082,gpu_base
5,640,360,9,2.34116,gpu_base
5,1280,720,0,4.10769,gpu_base
5,1280,720,1,4.18545,gpu_base
5,1280,720,2,4.07716,gpu_base
5,1280,720,3,3.97576,gpu_base
5,1280,720,4,4.15369,gpu_base
5,1280,720,5,3.95052,gpu_base
5,1280,720,6,4.13058,gpu_base
5,1280,720,7,4.10894,gpu_base
5,1280,720,8,3.98841,gpu_base
5,1280,720,9,4.21867,gpu_base
5,1920,1080,0,7.5305,gpu_base
5,1920,1080,1,7.55276,gpu_base
5,1920,1080,2,17.1223,gpu_base
5,1920,1080,3,12.8787,gpu_base
5,1920,1080,4,13.0255,gpu_base
5,1920,1080,5,12.948,gpu_base
5,1920,1080,6,12.999,gpu_base
5,1920,1080,7,8.66367,gpu_base
5,1920,1080,8,6.28491,gpu_base
5,1920,1080,9,6.30249,gpu_base
10,320,180,0,1.85404,gpu_base
10,320,180,1,1.77503,gpu_base
10,320,180,2,1.94784,gpu_base
10,320,180,3,2.28039,gpu_base
10,320,180,4,2.03985,gpu_base
10,320,180,5,2.14965,gpu_base
10,320,180,6,2.04937,gpu_base
10,320,180,7,2.79786,gpu_base
10,320,180,8,2.85337,gpu_base
10,320,180,9,2.73624,gpu_base
10,640,360,0,4.13627,gpu_base
10,640,360,1,4.34457,gpu_base
10,640,360,2,4.34994,gpu_base
10,640,360,3,4.11675,gpu_base
10,640,360,4,4.09635,gpu_base
10,640,360,5,3.92655,gpu_base
10,640,360,6,4.09614,gpu_base
10,640,360,7,4.10764,gpu_base
10,640,360,8,3.98634,gpu_base
10,640,360,9,4.7797,gpu_base
10,1280,720,0,9.32451,gpu_base
10,1280,720,1,9.39049,gpu_base
10,1280,720,2,9.66345,gpu_base
10,1280,720,3,9.33143,gpu_base
10,1280,720,4,9.74956,gpu_base
10,1280,720,5,9.41393,gpu_base
10,1280,720,6,9.28024,gpu_base
10,1280,720,7,9.67419,gpu_base
10,1280,720,8,9.17602,gpu_base
10,1280,720,9,9.37023,gpu_base
10,1920,1080,0,17.4221,gpu_base
10,1920,1080,1,17.5895,gpu_base
10,1920,1080,2,17.5868,gpu_base
10,1920,1080,3,17.5733,gpu_base
10,1920,1080,4,17.5785,gpu_base
10,1920,1080,5,17.4928,gpu_base
10,1920,1080,6,17.5163,gpu_base
10,1920,1080,7,17.5505,gpu_base
10,1920,1080,8,17.5767,gpu_base
10,1920,1080,9,17.5463,gpu_base
25,320,180,0,6.15277,gpu_base
25,320,180,1,6.09641,gpu_base
25,320,180,2,5.62576,gpu_base
25,320,180,3,5.47674,gpu_base
25,320,180,4,5.77212,gpu_base
25,320,180,5,6.17454,gpu_base
25,320,180,6,6.18184,gpu_base
25,320,180,7,5.98748,gpu_base
25,320,180,8,6.38062,gpu_base
25,320,180,9,6.12944,gpu_base
25,640,360,0,12.4905,gpu_base
25,640,360,1,12.0145,gpu_base
25,640,360,2,12.122,gpu_base
25,640,360,3,11.9554,gpu_base
25,640,360,4,11.7615,gpu_base
25,640,360,5,12.1788,gpu_base
25,640,360,6,11.7338,gpu_base
25,640,360,7,11.8845,gpu_base
25,640,360,8,12.1341,gpu_base
25,640,360,9,11.9202,gpu_base
25,1280,720,0,28.5136,gpu_base
25,1280,720,1,28.512,gpu_base
25,1280,720,2,28.916,gpu_base
25,1280,720,3,28.9598,gpu_base
25,1280,720,4,28.5012,gpu_base
25,1280,720,5,28.3942,gpu_base
25,1280,720,6,28.6848,gpu_base
25,1280,720,7,28.7911,gpu_base
25,1280,720,8,28.5904,gpu_base
25,1280,720,9,28.3755,gpu_base
25,1920,1080,0,51.6468,gpu_base
25,1920,1080,1,51.4541,gpu_base
25,1920,1080,2,51.9947,gpu_base
25,1920,1080,3,51.8725,gpu_base
25,1920,1080,4,51.6567,gpu_base
25,1920,1080,5,51.8472,gpu_base
25,1920,1080,6,51.5948,gpu_base
25,1920,1080,7,52.1415,gpu_base
25,1920,1080,8,51.7068,gpu_base
25,1920,1080,9,51.6401,gpu_base
50,320,180,0,12.218,gpu_base
50,320,180,1,12.1431,gpu_base
50,320,180,2,11.5825,gpu_base
50,320,180,3,12.0133,gpu_base
50,320,180,4,10.5417,gpu_base
50,320,180,5,12.1656,gpu_base
50,320,180,6,11.2831,gpu_base
50,320,180,7,11.7318,gpu_base
50,320,180,8,10.4505,gpu_base
50,320,180,9,10.5634,gpu_base
50,640,360,0,23.483,gpu_base
50,640,360,1,23.7812,gpu_base
50,640,360,2,22.5104,gpu_base
50,640,360,3,22.835,gpu_base
50,640,360,4,22.5898,gpu_base
50,640,360,5,23.9113,gpu_base
50,640,360,6,22.6248,gpu_base
50,640,360,7,24.012,gpu_base
50,640,360,8,24.3098,gpu_base
50,640,360,9,24.7048,gpu_base
50,1280,720,0,55.214,gpu_base
50,1280,720,1,54.7625,gpu_base
50,1280,720,2,54.0282,gpu_base
50,1280,720,3,54.1982,gpu_base
50,1280,720,4,54.6185,gpu_base
50,1280,720,5,54.302,gpu_base
50,1280,720,6,54.3819,gpu_base
50,1280,720,7,53.5166,gpu_base
50,1280,720,8,54.6012,gpu_base
50,1280,720,9,54.4417,gpu_base
50,1920,1080,0,94.1503,gpu_base
50,1920,1080,1,81.1938,gpu_base
50,1920,1080,2,79.7506,gpu_base
50,1920,1080,3,78.8577,gpu_base
50,1920,1080,4,78.9623,gpu_base
50,1920,1080,5,79.1111,gpu_base
50,1920,1080,6,79.4209,gpu_base
50,1920,1080,7,77.5464,gpu_base
50,1920,1080,8,77.5694,gpu_base
50,1920,1080,9,77.6151,gpu_base
100,320,180,0,16.0876,gpu_base
100,320,180,1,16.6768,gpu_base
100,320,180,2,16.2017,gpu_base
100,320,180,3,21.0411,gpu_base
100,320,180,4,19.6255,gpu_base
100,320,180,5,19.0306,gpu_base
100,320,180,6,20.5623,gpu_base
100,320,180,7,17.549,gpu_base
100,320,180,8,18.1492,gpu_base
